fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
5, 24, 0.1598, 96.48%, 3.6308, 40.00%, 53.04s, 0.000159
5, 25, 0.1521, 96.76%, 3.7328, 40.09%, 52.95s, 0.000150
5, 26, 0.1378, 97.04%, 3.6654, 40.46%, 52.98s, 0.000141
5, 27, 0.1193, 97.41%, 3.7081, 39.81%, 52.88s, 0.000131
5, 28, 0.1084, 97.66%, 3.6950, 39.91%, 52.89s, 0.000122
5, 29, 0.0998, 98.08%, 3.7044, 41.20%, 52.84s, 0.000113
5, 30, 0.0864, 98.38%, 3.7130, 40.28%, 52.76s, 0.000104
5, 31, 0.0832, 98.36%, 3.7167, 40.19%, 53.35s, 0.000095
5, 32, 0.0880, 98.24%, 3.7171, 40.46%, 58.98s, 0.000086
5, 33, 0.0692, 98.59%, 3.7957, 41.48%, 54.96s, 0.000078
5, 34, 0.0648, 98.66%, 3.7376, 41.48%, 53.18s, 0.000070
5, 35, 0.0629, 98.52%, 3.6954, 40.74%, 52.84s, 0.000062
5, 36, 0.0488, 99.14%, 3.7628, 41.48%, 53.03s, 0.000054
5, 37, 0.0484, 99.17%, 3.7484, 40.93%, 53.25s, 0.000047
5, 38, 0.0502, 99.10%, 3.7546, 40.28%, 54.08s, 0.000041
5, 39, 0.0487, 98.98%, 3.7452, 41.11%, 55.12s, 0.000034
5, 40, 0.0452, 99.05%, 3.7783, 40.74%, 54.00s, 0.000029
5, 41, 0.0364, 99.42%, 3.7885, 41.02%, 53.56s, 0.000023
5, 42, 0.0354, 99.33%, 3.7927, 40.93%, 53.42s, 0.000019
5, 43, 0.0388, 99.40%, 3.7797, 41.39%, 53.44s, 0.000014
5, 44, 0.0351, 99.44%, 3.7860, 41.30%, 53.44s, 0.000011
5, 45, 0.0352, 99.40%, 3.7804, 41.02%, 53.30s, 0.000007
5, 46, 0.0338, 99.35%, 3.7796, 41.48%, 53.54s, 0.000005
5, 47, 0.0381, 99.17%, 3.7792, 41.48%, 54.41s, 0.000003
5, 48, 0.0330, 99.44%, 3.7823, 41.39%, 54.50s, 0.000001
5, 49, 0.0371, 99.28%, 3.7816, 41.57%, 53.63s, 0.000000
5, 50, 0.0336, 99.35%, 3.7817, 41.57%, 53.53s, 0.000000
